C00257642|500|MA|02493
C00257642|1000|WA|98382
C00257642|250|WA|98117
C00257642|300|WA|98119
C00257642|200|KY|40207
C00257642|250|WA|98125
C00257642|250|WA|98112
C00257642|250|WA|98034
C00257642|2400|WA|98101
C00257642|400|WA|98052
C00257642|300|WA|98103
C00257642|200|WA|99223
C00257642|500|WA|98109
C00257642|250|WA|98126
C00257642|1000|OR|97267
C00257642|250|NJ|07458
C00257642|300|WA|98105
C00257642|250|WA|98101
C00257642|500|WA|98116
C00257642|500|MD|20895
C00257642|500|DC|20002
C00346312|2500|NY|10075
C00346312|1000|NY|13090
C00346312|2500|NY|11201
C00462838|2200|NC|27713
C00325126|1000|TX|77019
C00325126|500|CA|92614
C00325126|500|CA|90027
C00325126|1000|CA|90077
C00325126|2500|LA|70360
C00325126|500|CA|92651
C00325126|250|LA|70571
C00325126|300|LA|71201
C00325126|500|CA|92603
C00325126|1500|VA|22201
C00325126|1000|VA|22201
C00325126|500|CA|90062
C00325126|500|CA|91436
C00325126|2000|TX|77027
C00325126|1000|TX|77459
C00325126|1000|TX|77077
C00325126|300|LA|70808
C00325126|500|LA|70808
C00325126|1000|CA|90401
C00325126|2500|CA|90401
C00325126|300|LA|70084
C00325126|300|LA|70068
C00325126|300|LA|70115
C00325126|2500|LA|70112
C00325126|500|CA|91331
C00325126|300|DC|20002
C00325126|500|NY|12866
C00325126|2000|LA|70115
C00325126|1250|TX|77381
C00325126|2000|TX|77024
C00325126|1000|TX|78730
C00325126|1000|CA|91316
C00325126|1000|TX|77024
C00325126|300|TX|75039
C00458059|250|AK|99501
C00458059|350|AK|99516
C00458059|500|LA|70806
C00458059|250|AK|99516
C00458059|1000|DC|20036
C00458059|250|AK|99508
C00458059|1000|DC|20016
C00458059|1000|DC|20005
C00458059|1000|DC|20001
C00458059|1000|DC|20001
C00458059|500|VA|22205
C00458059|500|DC|20001
C00458059|200|AL|99515
C00458059|500|AK|99501
C00458059|500|AK|99518
C00458059|1000|DC|20001
C00458059|1000|DC|20036
C00458059|1000|MD|20895
C00458059|500|AK|99802
C00306704|1000|AL|35801
C00434563|200|NM|87120
C00434563|1250|NM|87048
C00434563|1000|NM|87122
C00434563|250|NM|87110
C00434563|500|NM|87505
C00434563|500|NM|87107
C00434563|500|NM|87108
C00434563|2500|NM|87122
C00434563|1250|OK|74820
C00434563|500|DC|20015
C00434563|2500|NM|87501
C00434563|1000|NM|87501
C00434563|2500|NM|87122
C00434563|1250|NM|87544
C00434563|1000|NV|89117
C00434563|1000|NM|87701
C00434563|1000|DC|20003
C00434563|250|NM|87110
C00434563|2500|CA|92130
C00434563|2500|CA|92130
C00434563|2500|NM|87108
C00434563|300|NM|87505
C00434563|500|NM|87122
C00434563|2500|NY|10012
C00434563|250|NM|87008
C00434563|300|NM|87105
